Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
07:38:20,26,83,1664000,5312000000,228,2543.25,227.73,984.87,47.17,15.63,3018866.64,1000425603.84,100%,100%,9,24,39
07:38:25,26,67,1664000,4288000000,228,2886.58,227.73,1129.67,47.17,13.08,3018866.64,837308453.34,100%,100%,9,24,40
07:38:30,26,77,1664000,4928000000,228,2358.47,227.73,857.01,47.17,15.96,3018866.64,1021656234.11,100%,100%,9,25,41
07:38:35,26,102,1664000,6528000000,228,2100.73,227.73,765.93,47.17,21.72,3018866.64,1389830666.32,100%,100%,9,25,42
07:38:40,26,77,1664000,4928000000,228,2104.73,227.73,845.9,47.17,15.68,3018866.64,1003545880.56,100%,100%,9,26,43
07:38:45,26,74,1664000,4736000000,228,2689.03,227.73,900.77,47.17,15.01,3018866.64,960379393.35,100%,100%,9,26,44
07:38:50,26,79,1664000,5056000000,228,3112.84,227.73,1148.71,47.17,15.57,3018866.64,996640355.34,100%,100%,9,27,45
07:38:55,26,75,1664000,4800000000,228,2491.8,227.73,1062.08,47.17,14.77,3018866.64,945597918.12,100%,100%,9,27,46
07:39:00,26,97,1664000,6208000000,228,2217.29,227.73,767.04,47.17,19.04,3018866.64,1218366956.92,100%,100%,9,28,47
07:39:05,26,83,1664000,5312000000,228,2049.18,227.73,726.11,47.17,17,3018866.64,1087864730.32,100%,100%,9,28,48
07:39:10,26,98,1664000,6272000000,228,2243.38,227.73,758.95,47.17,19.84,3018866.64,1269496011.15,100%,100%,9,29,49
07:39:15,26,76,1664000,4864000000,228,2371.28,227.73,876.66,47.17,13.67,3018866.64,874832278.26,100%,100%,9,29,50
07:39:20,26,68,1664000,4352000000,228,2798.07,227.73,986.15,47.17,13.21,3018866.64,845676000.8,100%,100%,9,30,51
07:39:25,26,81,1664000,5184000000,228,2296.68,227.73,855.9,47.17,18.62,3018866.64,1191893586.09,100%,100%,9,30,52
07:39:30,26,84,1664000,5376000000,228,2034.24,227.73,677.71,47.17,18.74,3018866.64,1199268456.84,100%,100%,9,31,53
07:39:35,26,62,1664000,3968000000,228,2106.11,227.73,733.87,47.17,14.82,3018866.64,948669611.69,100%,100%,9,31,54
07:39:40,26,48,1664000,3072000000,228,2235.29,227.73,644.69,47.17,18.08,3018866.64,1157218347.26,100%,100%,9,32,55
07:39:45,26,40,1664000,2560000000,228,2673.78,227.73,859.43,47.17,9.58,3018866.64,612878932.41,100%,100%,9,32,56
07:39:50,26,50,1664000,3200000000,228,2477.76,227.73,876.58,47.17,10.7,3018866.64,684620383.43,100%,100%,9,33,57
07:39:55,26,32,1664000,2048000000,228,2304.41,227.73,735.31,47.17,7.1,3018866.64,454644380.23,100%,100%,9,33,58
07:40:00,26,34,1664000,2176000000,228,2582.97,227.73,812.38,47.17,9.07,3018866.64,580293445.6,100%,100%,9,33,59
07:40:05,26,48,1664000,3072000000,228,2513.67,227.73,853.4,47.17,11.18,3018866.64,715724315.29,100%,100%,9,33,60
07:40:10,26,40,1664000,2560000000,228,2340.32,227.73,731.25,47.17,8.24,3018866.64,527067385.09,100%,100%,9,34,61
07:40:15,26,41,1664000,2624000000,228,2573.02,227.73,843.85,47.17,9,3018866.64,576152768.23,100%,100%,9,34,62
07:40:20,26,36,1664000,2304000000,228,2351.61,227.73,766,47.17,8.75,3018866.64,560058704.39,100%,100%,9,34,63
07:40:25,26,48,1664000,3072000000,228,2068,227.73,570.25,47.17,11.42,3018866.64,731075253.22,100%,100%,9,34,64
07:40:30,26,40,1664000,2560000000,228,1787.28,227.73,622.38,47.17,8.24,3018866.64,527311291.62,100%,100%,9,35,65
07:40:35,26,32,1664000,2048000000,228,1992.5,227.73,650.28,47.17,8.16,3018866.64,522494019.78,100%,100%,9,35,66
07:40:40,26,40,1664000,2560000000,228,1748.68,227.73,509.35,47.17,10.61,3018866.64,679292354.97,100%,100%,9,35,67
07:40:45,26,39,1664000,2496000000,228,948.9,227.73,342.31,47.17,11.29,3018866.64,722301486.49,100%,100%,9,35,68
07:40:50,26,12,1664000,768000000,228,471.67,227.73,180.33,47.17,4.28,3018866.64,274218024.93,100%,100%,9,36,69
